SW Req ID,Title,Requirement,Rationale,Verification Method,Verification Statement
BPv6-015,Primary Bundle Block Constraining,Bundles created by a source bundle protocol agent shall have a unique combination of source endpoint ID and bundle creation timestamp.,"The creation timestamp is defined in RFC 5050 section 4.5.1. The combination of source endpoint ID and bundle creation timestamp identifies a single transmission request, enabling it to be acknowledged by the receiving application (provided the source endpoint ID is not ""dtn:none"").",Test,"This requirement is verified when a test shows multiple bundles created by a bundling agent, each with a unique source endpoint ID and bundle creation timestamp combination.\"
BPv6-016,Bundle Fragmentation 1,The concatenation of bundle fragment payloads shall result in a payload identical to the fragmented bundle's payload.,Bundle fragmentation is defined in RFC 5050 section 5.8. The payloads of fragments resulting from different fragmentation episodes in other parts of the network may overlap subsets of the original bundle's payload.,Test,This requirement is verified when a test shows a received reassembled bundle's payload is identical to the original payload before single and nested fragmentation.\
BPv6-017,Bundle Fragmentation 2,"The primary block's ""Bundle is a fragment"" Bundle Processing Control Flag of each fragment shall be set to TRUE.",Bundle fragmentation is defined in RFC 5050 section 5.8. Bundle Processing Control Flags are defined in RFC 5050 section 4.2. Keeping track of fragmented bundles is imperative for network management.,Test,"This requirement is verified when a test receives a fragmented bundle and confirms the bundle has the primary block ""Bundle is a fragment"" Bundle Processing Control Flag set to TRUE.\"
BPv6-018,Constraining Bundle Fragmentation 3,The end of each fragment's primary bundle block shall contain the fragment offset followed by the total application data unit length.,Bundle fragmentation is defined in RFC 5050 section 5.8. Bundle format is defined in RFC 5050 section 4.5. Keeping track of fragmented bundles is imperative for network management. The fragment offset and total application data unit length aid in reconstructing the bundle once it reaches its destination.,Test,This requirement is verified when a test receives a fragmented bundle and confirms that each fragment's end contains the fragment offset followed by the total application data unit length.\
BPv6-019,Bundle Fragmentation Replication,"When a block's ""Block must be replicated in every fragment"" Block Processing Control Flag is TRUE, the block shall be replicated in the bundle fragment(s).","Bundle fragmentation is defined in RFC 5050 section 5.8. Block Processing Control Flags are defined in RFC 5050 section 4.3. The ""Block must be replicated in every fragment"" bit, when TRUE, means that the block shall be replicated in every fragment.",Test,"This requirement is verified when a test receives a fragmented bundle and confirms the bundle contains a block with the ""Block must be replicated in every fragment"" Block Processing Control Flag set to TRUE. Also, the specified block is shown to be replicated in each fragment.\"
BPv6-020,Bundle Fragmentation Order,The relative order of the blocks present in a fragment shall be the same as in the bundle prior to fragmentation.,Bundle fragmentation is defined in RFC 5050 section 5.8. Keeping block order during fragmentation is imperative for network management and aids in reconstructing the bundle once it reaches its destination.,Test,This requirement is verified when fragmenting a bundle shows the blocks are kept in the same order as the bundle before fragmentation.\
BPv6-021,SDNV Most Significant Bit (MSB),"An SDNV shall set the MSB of every octet to TRUE, except for the last octet.",SDNVs are defined in RFC 5050 section 4.1. An SDNV is a numeric value. The value encoded in an SDNV is the unsigned binary number obtained by concatenating into a single-bit string the 7 least significant bits of each octet of the SDNV. The last octet of an SDNV has its MSB set to FALSE.,Test,"This requirement is verified when a received bundle is encoded in N octets with the MSB of every octet set to TRUE, excluding the last octet.\"
BPv6-022,Bundle Reception Unintelligible,The bundle protocol agent shall delete the bundle for any extension block the bundle protocol agent cannot process.,Anything the network doesn't recognize will be deleted to keep the network efficient.,Test,"This requirement is verified when a test sends a bundle with a corrupt extension block to the bundle agent, and it is confirmed that the Bundle has been deleted.\"
BPv6-027,Local Bundle Delivery Succeeded Response,"When a bundle with the ""Custody transfer is requested"" Bundle Processing Control Flag set to TRUE contains a singleton endpoint destination, the bundle protocol agent shall report custodial delivery by generating a custody signal for the bundle destined for the bundle's current custodian with the ""Custody transfer succeeded"" flag of the Custody Signal Status set to TRUE.","When custody is enabled, a handshake happens between the two nodes. Details of bundle acceptance are defined in RFC 5050 section 5.7.",Test,"This requirement is verified when a test sends a single destination bundle with custody transfer enabled to the bundle agent. Also, it is confirmed a custody signal with the ""Custody transfer succeeded"" flag of the Custody Signal Status set to TRUE is generated.\"
BPv6-028,Block Processing Control Flags Zeroing Flags,"The ""Block must be replicated in every fragment"" Block Processing Control Flag shall be set to FALSE on the blocks that follow the payload block.","When a bundle is fragmented, it fragments itself at the payload block. As a result, all blocks after the payload block are fragmented. Bundle Transmission is defined in RFC 5050 section 5.2. Block Processing Control Flags are defined in RFC 5050 section 4.3.",Test,This requirement is verified when a test receives a fragmented bundle and confirms all fragments have the specified bit set to zero for blocks following the payload block.\
BPv6-030,Bundle Transmission Source Endpoint,"The source endpoint ID of the bundle shall be either the ID of an endpoint of which the node is a member, or the null endpoint ID ""dtn:none"".",The bundle transmission service details are defined in RFC 5050 section 5.2. The source endpoint ID is the same as the node that created it. This allows network users to pinpoint which node created the bundle.,Test,"This requirement is verified when a test receives a bundle and confirms the bundle has the source endpoint ID of the sending node or the value ""dtn:none"".\"
BPv6-031,Bundle Forwarding Contraindication Lookup,"When the bundle's Custody Signal Status Reason Code is set to ""No additional information"", the bundle protocol agent shall allow a bundle to be forwarded.",Contraindication reasons are defined in Figure 12 of RFC 5050. Contraindication is placed upon a bundle whenever the bundle protocol agent needs to do something else with the bundle for any reason.,Test,"This requirement is verified when a test sends a bundle with its Custody Signal Status Reason code set to ""No additional information"" to the bundle agent and confirms the bundle is forwarded.\"
BPv6-032,Bundle Forwarding Choosing Endpoint,The bundle protocol agent shall determine the endpoint(s) to forward the bundle to.,"The bundle protocol agent may forward the bundle directly to its destination endpoint (if possible) or some other endpoint(s) for further forwarding. How this decision is made may depend on the scheme name in the destination endpoint ID, but is beyond the scope of this document. If the agent finds it impossible to select any endpoint(s) to forward the bundle to, forwarding is contraindicated.",Test,This requirement is verified when a test sends a bundle to the bundle agent and confirms that the bundle agent sets the bundle's next hop.\
BPv6-033,Bundle Forwarding Block Sequencing,The sequencing of the blocks in a forwarded bundle shall remain unchanged as the bundle transits a node.,Bundle forwarding block sequencing is defined in RFC 5050 section 5.4. Keeping the block sequencing between hops will avoid the possibility of invalidating bundle security.,Test,This requirement is verified when a test sends a bundle to the bundle agent and confirms that the bundle agent does not alter the order of the bundle blocks.\
BPv6-035,Failed Forwarding Custody Signal Current Custodian,"When a bundle with the ""Custody transfer is requested"" Bundle Processing Control Flag set to TRUE has a singleton endpoint destination, the bundle protocol agent shall handle a custody transfer failure by generating a custody signal for the bundle that is destined for the bundle's current custodian with the ""Custody transfer succeeded"" flag of the Custody Signal Status set to FALSE.","When custody is enabled, custody rules remain through the lifetime of the bundle. Bundle forwarding failures are defined in RFC 5050 section 5.4.2.",Test,"This requirement is verified when a test sends a bundle with custody to the bundle agent that cannot accept custody and confirms that a Custody Signal Status with the ""Custody transfer succeeded"" flag set to FALSE is generated.\"
BPv6-037,Bundle Expiration,"When a bundle that goes through storage expires, the bundle protocol agent shall delete the bundle.",Bundle forwarding rules for expired bundles are defined in RFC 5050 section 5.5. Network needs not to waste resources moving expired data.,Test,This requirement is verified when a test sends an expired bundle to the bundle agent and confirms the expired bundle is deleted from HDTN storage.\
BPv6-038,Bundle Discard Prevented,"When a singleton endpoint bundle in custody that has a retention constraint is to be deleted, the custody of the bundle shall be released and a status report with the reason sent to the bundle's report-to EID.",Removal of retention constraints is described in RFC 5050 section 5.13. A bundle cannot be deleted until its retention constraints are removed.,Test,"This requirement is verified when a test shows that a bundle in custody expires in storage, a deletion status report is sent to the report- to EID, and the bundle is deleted from storage.\"
BPv6-039,Intermittent Connectivity Conditions,The DTN implementation shall store data when the link to the next node is unavailable.,"DTN is store, carry, and forward. The intermittent nature of space communication is why DTN is used.",Test,This requirement is verified when a test sends a bundle to the bundle agent with no other connectivity and confirms that the bundle is stored.\
BPv6-042,Retransmit After Custody Transfer Timer Expiration,"When custody transfer fails due to the custody transfer timer expiration, the DTN implementation shall retransmit the bundle.","When custody is enabled, a handshake happens between the two nodes.",Test,This requirement is verified when a bundle with custody is retransmitted when the bundle custody transfer timer expires.\
BPv6-043,Retransmit After Custody Signal Reception Failure,"When a Custody Signal Status with the ""Custody transfer succeeded"" flag set to FALSE is received for a bundle with the ""Custody transfer is requested"" Bundle Processing Control Flag set to TRUE has been received, the bundle agent shall retransmit the bundle.","When custody is enabled, a handshake happens between the two nodes.",Test,"This requirement is verified when a Custody Signal Status with the ""Custody transfer succeeded"" flag set to FALSE is received for a bundle with the ""Custody transfer is requested"" Bundle Processing Control Flag set to TRUE, and the bundle is retransmitted.\"
BPv7-001,Concise Binary Object Representation (CBOR) Encoding,The data type for bundle block fields shall be CBOR unsigned integers.,"CBOR is the encoding for bundle fields. BPv7 only uses unsigned integers, byte strings, and arrays.",Inspection,This requirement is verified when an inspection of the code shows that the data type for bundle block fields is CBOR unsigned integers.\
BPv7-002,Bundle Structure,Bundles shall be CBOR indefinite-length arrays.,"CBOR is the encoding for bundle fields. BPv7 only uses unsigned integers, byte strings, and arrays. The bundle structure is defined in RFC 9171 section 4.1.",Inspection,This requirement is verified when an inspection of the code shows that bundles are a CBOR indefinite-length array.\
BPv7-003,Bundle Array Structure,Bundle arrays shall have a length of at least two blocks.,The primary bundle block and payload bundle block are the minimum requirements for a bundle. Bundle structure is defined in RFC 9171 section 4.1.,Test,This requirement is verified when a test receives a bundle and confirms that the bundle array has a length of at least two blocks.\
BPv7-004,Block Order,Block(s) following the primary block shall be a canonical block.,"Every block other than the primary block is called a ""canonical"" block. Canonical blocks are the extension blocks for adding data to the bundle header total for extra information. Block order is defined in RFC 9171 sections 4.1 and 4.3.2.",Test,This requirement is verified when a test receives a bundle and confirms the block following the primary block conforms to the canonical block format.\
BPv7-005,Bundle Structure Stop Code,"A CBOR ""break"" stop code, terminating the array, shall be directly after the payload block.",The stop code tells the node that the bundle is finished. Block order is defined in RFC 9171 section 4.1,Test,"This requirement is verified when a test receives a bundle and confirms the payload block is terminated by the CBOR ""break"" stop code.\"
BPv7-006,Bundle Encoding,Blocks shall be CBOR definite-length arrays.,Indefinite-length items are not prohibited within the BPv7 specification. The use of CBOR is discussed in section 4.1 of RFC 9171. CBOR encoding is defined in RFC 8949.,Inspection,This requirement is verified when an inspection of the code shows all definite- length values in block fields are CBOR encodings.\
BPv7-007,Primary Bundle Location,The first block in the bundle shall be a primary bundle block.,The location of the primary bundle block is defined in RFC 9171 section 4.1.,Test,This requirement is verified when a test receives a bundle and confirms the first block is a primary bundle block.\
BPv7-008,Number of Primary Blocks,A bundle shall have exactly one primary bundle block.,The number of primary bundle blocks is defined in RFC 9171 section 4.1.,Test,This requirement is verified when a test receives a bundle and confirms only one primary bundle block exists.\
BPv7-009,Payload Block Location,The last bundle block shall be a payload block.,The location of the payload block is defined in RFC 9171 section 4.1.,Test,This requirement is verified when a test receives a bundle and confirms the last block in the bundle is a payload block.\
BPv7-010,Number of Payload Blocks,A bundle shall have exactly one payload block.,"The payload contains the message, which can be data, information, or communication. The number of payload bundle blocks is defined in RFC 9171 section 4.1.",Test,This requirement is verified when a test receives a bundle and confirms the bundle has exactly one primary bundle block.\
BPv7-011,CRC Types,"CRC type will specify that no CRC is present, or X-25 CRC-16 or CRC32C CRC-32 are in use.","CRC type is defined in RFC 9171 sections 4.2 and 4.3.1. CRC Type specifies the algorithm used to calculate the CRC, if any.",Inspection,"This requirement is verified when an inspection of the code shows the CRC type as omitted, X-25 CRC-16, or CRC32C CRC-32.\"
BPv7-013,The DTN URI Scheme-SSP,"When the string value of a BP endpoint ID's Scheme- Specific Part (SSP) is equal to ""none"", the SSP shall be set to a value of zero.",The scheme identified by the < scheme name > in an endpoint ID is a set of syntactic and semantic rules that fully explain how to parse and interpret the SSP. URI scheme code definition document requirements are defined in RFC 9171 section 4.2.5.1.1.,Test,"This requirement is verified when a test receives a bundle with the endpoint ID of ""dtn:none"" and confirms the SSP has been set to zero.\"
BPv7-014,Node ID,HDTN shall identify the administrative endpoint of each node by its EID.,Network management is necessary for determining the health and statistics of the network. Node ID is defined in RFC 9171 section 4.2.5.2.,Test,"This requirement is verified when a test shows that a BPv7 bundle with a known destination node ID is routed correctly to the endpoint, and a bundle with an unrecognized node ID is not routed.\"
BPv7-015,Keep CBOR Encoding Value,The CBOR- encoded values of all fields in the primary block shall remain unchanged from point-to-point.,An immutable primary block provides integrity and accountability of the network. The rule to keep the primary block unchanged is defined in RFC 9171 section 4.3.1.,Test,This requirement is verified when a test confirms the bundle agent does not modify the CBOR-encoded values of any field in the primary block of a bundle from source to destination.\
BPv7-016,Primary Header Field Order,"The fields of the primary bundle block shall be in the following order when present: version, bundle processing control flags, CRC type, destination node EID, source node EID, report-to EID, creation timestamp, lifetime, CRC.",Primary bundle block fields explain what information is in what CBOR array. The field order of the primary bundle block is defined in RFC 9171 section 4.3.1.,Test,This requirement is verified when a test receives a bundle and confirms the primary block contents are in the specified order.\
BPv7-017,Canonical Block Field Order,"The fields of every canonical block shall appear in the following order: Block Type Code, Block Number, Block Processing Control Flags, CRC Type, and Block Type Specific Data.","Canonical bundle block(s) fields explain what information is in what CBOR array. Canonical Bundle Block is defined in RFC 9171 section 4.3.2. Note: When CRC Type indicates ""no CRC is present"", the CRC Type field is omitted in the element count.",Test,This requirement is verified when a test receives a bundle with a canonical block and confirms the canonical block fields are in the specified order.\
BPv7-018,Computation of a block's CRC,CRC shall be performed by temporarily setting the block's CRC field to zero before concatenating all bytes in the block for use as the binary dividend.,"CRC calculations aid in verifying the integrity of the bundle. When all bytes in the block are concatenated, the CBOR 'break"" stop code and CRC field are included. CRCs are calculated using binary 'long division' with the block data as the dividend, the algorithmdependent -key as the divisor, and the remainder at the end of the calculation as the final CRC value. CRC computation is defined in RFC 9171 section 4.3.1",Test,This requirement is verified when a test shows that the computed CRC value matches the reported CRC value of the block.\
BPv7-019,Previous Node Block Computation Node ID Block Format,The Previous Node Block shall uniquely identify that node.,"The Previous Node Block, block type 6, identifies the node that forwarded this bundle to the local node; its block-type-specific data is the node ID of the transmitter node. RFC 9171 defined Previous Node Block Node ID details in Section 4.4.1, explicitly calling out Section 4.2.5.2.",Test,This requirement is verified when a test receives a bundle and confirms the previous node is uniquely identified.\
BPv7-020,Previous Node Block Limitation,The bundle shall contain a Previous Node Block after its first hop when Previous Node Block is enabled.,A Previous Node Block will not be present when the bundle is first initialized. Previous Node Block details are defined in RFC 9171 section 4.4.1.,Test,This requirement is verified when a bundle with 'Previous Node Block' enabled is shown to a) contain no Previous Node Block at creation and b) contain a Previous Node Block after its first hop.\
BPv7-024,Security,The Bundle Protocol Agent shall implement support for Bundle Protocol Security (BPSec).,"The data in the network must keep its integrity, encryption, and authentication when required; security considerations are defined in section 8 of RFC 9171.",Demonstration,This requirement is verified when a demonstration shows that HDTN configured with BPSec can transfer a bundle successfully.\
BPSec-001,Security Operation Uniqueness,BPSec shall limit the application of any given security service to a security target to once per bundle.,This uniqueness requirement ensures no ambiguity related to the order in which security blocks are processed or how security policy can be specified to require certain security services in a bundle.,Test,"This requirement is verified when the user configuration for one target block indicates that the same security service is applied twice, generating an ""duplicate security service for target block"" error message in the log file.\"
BPSec-002,Security Context 1,BPSec shall support the BCB- AES-GCM security context.,HDTN currently implements all default security contexts as per RFC 9173. These are the minimum security contexts that need to be supported for interoperability.,Test,"This requirement is verified when the default confidentiality security context BCB-AES-GCM is part of the options security context parameters in the BPSec configuration file, and the security context can be used to encrypt and decrypt a bundle.\"
BPSec-003,Operation Multiplicity,BPSec shall utilize a single security block to represent multiple security operations.,A single security block MAY represent multiple security operations to reduce the security block number in a bundle. Reducing the security block number in a bundle reduces the redundant bundle information.,Test,This requirement is verified when a test sets up the BPSec configuration to target multiple types of blocks and confirms that only one Block Integrity Block (BIB) or Block Confidentiality Block (BCB) is in the bundle.\
BPSec-004,Target Identification,BPSec shall set security target values in a security block to the block numbers of the target blocks.,A security target must be uniquely and unambiguously identifiable when processing a security block. The extension block number field is used for this purpose. Placing the set of target blocks covered by operations in an easily accessible field allows Bundle Protocol Agents (BPAs) to scan this field and assess whether new Security Operations (SOps) can be added to a bundle and if the block has operations that must be processed.,Test,This requirement is verified when displaying the block value to which the security operation is applied matches the security target field in the corresponding security extension block.\
BPSec-005,BIB Block Type,The block-type-specific data field of a BIB shall follow the Abstract Security Block (ASB) structure.,"All security blocks share the same block-type-specific data structure, as these blocks have common aspects. The ASB data structure is defined in section 3.6 of RFC 9172.",Test,This requirement is verified when the inspection of a bundle with BIB block shows the contents of the BIB block-type-specific data field conforms to the ASB data structure.\
BPSec-006,BIB Security Targets,The BIB and BCB shall be considered invalid security targets for BIB operations.,An appropriate target block that a BIB should be able to reference is any block that may have its block-type- specific data signed.,Test,"This requirement is verified when a configuration file has a BIB with the security target as BIB or BCB and generates an ""invalid security target block"" error message in the log file.\"
BPSec-007,BIB Integrity Mechanism,The security context shall use a signed integrity mechanism for authentication or an unsigned mechanism for error detection.,"The integrity mechanism used by the BIB is given by the security context associated with the BIB. It may represent either signed or unsigned integrity. This way, BIB can represent authentication (with a signed integrity mechanism) or error detection (with an unsigned integrity mechanism).",Test,"This requirement is verified when a test shows that the software successfully authenticates a block using a signed integrity mechanism, and a test demonstrates that the software successfully detects an error in a block using an unsigned mechanism.\"
BPSec-008,BCB Processing,"BPSec shall set the flag ""Block must be removed from bundle if it cannot be processed"" to false for a BCB.",Removing a BCB from a bundle has significant consequences since the BCB is the sole indication that the BCB target block(s) have had their block-type-specific data field encrypted. Removing a BCB would make it impossible for future BPAs to decrypt the block.,Test,"This requirement is verified when a test shows that BCB has the ""Block must be removed from bundle if it cannot be processed"" flag set to FALSE.\"
BPSec-009,BCB Block Type,The block-type-specific data fields of a BCB shall follow the structure of the ASB.,"All security blocks share the same block-type-specific data structure, as these blocks have common aspects. The ASB data structure is defined in section 3.6 of RFC 9172.",Test,This requirement is verified when a test shows that a received bundle with a BCB block contains a BCB block-type-specific data field that conforms to the ASB data structure.\
BPSec-010,BCB Security Targets,BCBs shall be considered invalid security targets for other BCB operations.,"An appropriate target block that a BCB should be able to reference is any block that may have its block-type- specific data encrypted. Only payload, non-security extension blocks, and BIB blocks can be encrypted to properly process bundles. A BCB MUST NOT include another BCB as a security target, as other BCBs in a bundle cannot be encrypted. Doing so would hide other blocks in an encrypted bundle and remove the ability to decrypt them.",Test,This requirement is verified when each of the following conditions has been satisfied: 1) A test shows that a BCB operation is performed on a payload block without generating an error. 2) A test shows that a BCB operation is performed on a non-security extension block without generating an error. 3) A test shows a BCB operation is performed on a BIB without generating an error. 4) A test shows that specifying a BCB as the target of a BCB operation generates an error.\
BPSec-011,BCB Disallowed Security Targets 1,A BCB shall target blocks excluding the primary block.,Encrypting the primary block hides bundle identity.,Inspection,This requirement is verified when an inspection shows that the implementation does not allow targeting the primary block with a BCB.\
BPSec-013,Authenticated Encryption with Associated Data,A BCB shall utilize a confidentiality cipher that provides Authenticated Encryption with Associated Data (AEAD).,"Using a confidentiality cipher confirms that ciphertext, block processing flags, and other blocks in the bundle have not been modified.",Test,"This requirement is verified when a test shows that performing an AEAD operation on unaltered ciphertext, block processing flags, and other blocks in a bundle does not result in an error, and performing an AEAD operation on altered ciphertext, block processing flags, and other blocks in a bundle results in an error.\"
BPSec-014,Authentication Tag Placement,"Additional information created by the cipher suite shall be placed in one of the following locations, as specified by the BCB: 1. The security result field. 2. The generated ciphertext.",Security contexts used by the BCB must specify whether the authentication tag is included in the BCB as a security result or is represented with the ciphertext that replaces the security target block's plaintext.,Test,This requirement is verified when a test shows that the user can configure an authentication tag to be included either in the BCB as a security result or in the ciphertext that replaces the security target block's plaintext.\
BPSec-015,Encryption in Place,"When applying a BCB, BPSec shall overwrite unencrypted security target body data with the encrypted security target body data.","This eliminates the need to move the data, making the encryption faster and more reliable and provides better performance.",Test,"This requirement is verified when a test shows a bundle has had its block-type- specific data field overwritten with ciphertext, and that the block type code, block number, block processing control flags, and CRC type fields remain the same.\"
BPSec-018,BCB and BIB Blocks Interactions 3,BPSec shall prevent the addition of a BIB with a security target already identified as the security target(s) of a \uc0\u1042 \u1057 \u1042 .,This is needed to prevent ambiguity in block processing order.,Test,This requirement is verified when the user is prevented from adding a BIB for a security target that is already the security target of a BCB.\
BPSec-019,BCB and BIB Blocks Interactions 4,BPSec shall prevent checking the BIB integrity value of a BIB that is the security target of an existing BCB.,"When a BIB is the security target of a BCB, the BIB data is encrypted. BIB integrity checks MUST NOT be performed on encrypted BIB data.",Test,This requirement is verified when a test shows that BPSec performs a BIB integrity check on unencrypted BIB data and BPSec does not perform a BIB integrity check on encrypted BIB data.\
BPSec-020,BCB and BIB Blocks Interactions 5,BPSec shall prevent checking the BIB integrity value of a security target that is also the security target of a BCB.,"When a BIB security target is also the security target of a BCB, the security target data is encrypted. BIB integrity checks MUST NOT be performed on encrypted security target data.",Test,"This requirement is verified when a test shows that BPSec performs a BIB integrity check on unencrypted security target data, and BPSec does not perform a BIB integrity check on encrypted security target data.\"
BPSec-021,BCB and BIB Blocks Interactions 6,A BIB shall not be added as a BCB security target when that BIB is a BCB security target.,An appropriate target block that a BIB should be able to reference is any block that may have its block-type- specific data signed.,Test,This requirement is verified when the user is prevented from adding a BIB as a security target if it already is a security target for a BCB.\
BPSec-022,Canonical Form of the Primary Block,Concise Binary Object Representation (CBOR) values from the primary block shall be canonicalized using the rules for Deterministically Encoded CBOR.,"Canonicalization algorithms are discussed in section 3.7 of RFC 9173. Canonicalization algorithms transcode the contents of a security target into a canonical form. Security services require consistency and determinism in how information is presented to cipher suites at security sources, verifiers, and acceptors.",Test,This requirement is verified when an inspection of the code and bundle with BPSec enabled shows that the primary block is canonicalized using the rules for Deterministically Encoded CBOR.\
BPSec-023,Canonical Block Structure,The BIB and BCB shall share the same structure as the Canonical Block as specified in RFC 9171 section 4.3.2.,"Security services require consistency and determine how information is presented to cipher suites at security sources, verifiers, and acceptors.",Test,"This requirement is verified when a test shows that bundles with BIBs and BCBs in the Canonical Block format specified by RFC 9171 are sourced, verified, and accepted.\"
BPSec-024,The Integrity-Protected Plaintext (IPPT) of the Canonical Block,The IPPT input to the BIB-HMAC-SHA2 integrity mechanism shall follow the canonicalization algorithms specified in RFC 9173.,"To ensure that the security target values are unchanged, the canonical form of that target will be the same even if the encoding of those values for wire transmission is different.",Test,This requirement is verified when a test shows that: 1. A BIB containing a hash produced with the canonical form of the IPPT is verified. 2. A BIB containing a hash not produced with the canonical form of the IPPT is not verified. 3. A BIB containing a hash produced with the canonical form of the IPPT is accepted. 4. A BIB containing a hash not produced with the canonical form of the IPPT is not accepted. 5. A security source produces a BIB that can be verified with the canonical form of the IPPT.\
